Time,Emotion,Confidence
07:19:33 AM,angry,93.8
07:19:38 AM,angry,59.3
07:19:44 AM,angry,68.9
07:19:54 AM,angry,85.8
07:19:55 AM,sad,51.7
07:20:36 AM,sad,87.6
07:20:50 AM,sad,55.2
07:20:51 AM,angry,96.3
07:20:52 AM,sad,78.8
07:20:57 AM,sad,90.5
07:21:02 AM,sad,94.2
02:08:44 PM,,47.9
02:08:45 PM,sad,82.1
02:08:50 PM,sad,63.1
02:08:55 PM,sad,63.4
02:09:01 PM,sad,63.7
02:09:06 PM,sad,85.8
02:09:09 PM,neutral,78.5
02:09:14 PM,neutral,99.6
02:09:19 PM,neutral,49.8
02:09:23 PM,sad,86.6
02:09:28 PM,sad,78.1
02:09:33 PM,sad,81.4
02:09:39 PM,sad,83.1
02:09:45 PM,sad,98.0
02:09:50 PM,sad,42.6
02:09:56 PM,sad,69.4
02:10:01 PM,sad,78.6
02:10:06 PM,sad,68.8
02:10:13 PM,sad,62.9
02:10:23 PM,sad,48.8
02:10:28 PM,sad,78.4
02:10:35 PM,sad,69.5
02:10:46 PM,sad,44.6
02:10:52 PM,sad,97.5
02:10:57 PM,sad,64.1
02:11:02 PM,sad,67.3
02:11:07 PM,sad,80.7
02:11:12 PM,sad,81.0
02:11:18 PM,sad,49.9
02:11:19 PM,angry,61.5
02:11:20 PM,sad,87.4
02:11:25 PM,angry,92.4
02:11:30 PM,angry,96.1
02:11:30 PM,sad,85.1
02:11:35 PM,sad,40.1
02:11:41 PM,sad,78.0
02:11:46 PM,sad,85.1
02:12:12 PM,sad,59.7
02:12:17 PM,sad,43.5
02:12:23 PM,sad,50.9
02:12:29 PM,sad,42.0
02:12:34 PM,sad,98.8
02:12:40 PM,sad,92.8
02:12:45 PM,sad,87.8
02:12:50 PM,sad,55.3
02:12:55 PM,sad,48.6
02:13:00 PM,sad,39.8
02:13:06 PM,sad,90.6
02:13:08 PM,angry,65.9
02:13:15 PM,angry,48.0
02:13:20 PM,angry,52.4
02:13:26 PM,angry,37.6
02:13:31 PM,angry,52.0
02:13:37 PM,angry,29.5
02:13:43 PM,angry,38.2
02:13:48 PM,angry,60.5
02:13:55 PM,angry,33.1
02:14:00 PM,angry,45.0
02:14:05 PM,angry,60.3
02:14:10 PM,angry,95.1
02:14:15 PM,angry,74.0
02:14:21 PM,angry,76.5
02:14:26 PM,angry,93.6
02:14:29 PM,sad,79.4
02:14:34 PM,angry,66.6
02:14:35 PM,sad,82.6
02:14:37 PM,angry,66.2
02:14:43 PM,angry,49.7
02:14:49 PM,angry,37.1
02:14:54 PM,angry,40.4
02:14:59 PM,angry,79.9
02:15:05 PM,angry,53.4
02:15:08 PM,sad,64.6
02:15:13 PM,sad,93.9
02:15:19 PM,sad,35.9
02:15:26 PM,sad,49.7
02:15:30 PM,angry,59.0
02:15:31 PM,sad,53.5
02:15:36 PM,sad,55.8
02:15:41 PM,sad,63.6
02:15:44 PM,angry,72.5
02:15:49 PM,angry,64.9
02:15:55 PM,angry,50.7
02:16:00 PM,angry,60.3
02:16:06 PM,angry,56.6
02:16:11 PM,angry,44.2
02:16:17 PM,angry,40.2
02:16:19 PM,neutral,55.7
02:16:25 PM,neutral,42.6
02:16:33 PM,neutral,87.9
02:16:40 PM,neutral,59.2
02:16:45 PM,neutral,53.1
02:16:50 PM,neutral,53.5
02:16:55 PM,neutral,52.5
02:17:01 PM,neutral,49.6
02:17:08 PM,neutral,50.6
02:17:15 PM,neutral,36.1
02:17:20 PM,neutral,39.1
02:17:26 PM,neutral,74.7
02:17:31 PM,neutral,88.2
02:17:32 PM,sad,71.0
02:17:34 PM,angry,66.4
02:17:40 PM,angry,76.6
02:17:45 PM,angry,98.0
02:17:46 PM,sad,91.2
02:17:51 PM,sad,60.0
02:17:56 PM,sad,53.4
02:18:02 PM,sad,50.3
02:18:08 PM,sad,59.9
02:18:12 PM,angry,51.4
02:18:18 PM,angry,95.1
02:18:24 PM,angry,61.9
02:18:29 PM,angry,84.0
02:18:35 PM,angry,43.2
02:18:41 PM,angry,36.8
02:18:48 PM,angry,51.4
02:18:55 PM,angry,46.7
02:18:59 PM,neutral,95.2
02:19:01 PM,angry,48.2
02:19:01 PM,neutral,47.3
02:19:02 PM,sad,90.3
02:19:07 PM,sad,51.7
02:19:11 PM,angry,75.3
02:19:17 PM,angry,97.7
02:19:22 PM,angry,64.7
02:19:27 PM,angry,70.6
02:19:32 PM,angry,43.4
02:19:37 PM,angry,34.2
02:19:42 PM,angry,49.0
02:19:47 PM,angry,67.1
02:19:53 PM,angry,46.1
02:19:56 PM,neutral,74.5
02:20:01 PM,neutral,34.4
02:20:04 PM,sad,69.3
02:20:09 PM,sad,66.0
02:20:11 PM,angry,82.0
02:20:16 PM,angry,50.8
02:20:21 PM,angry,98.0
02:20:27 PM,angry,52.3
02:20:33 PM,angry,34.9
02:20:38 PM,angry,72.4
02:20:40 PM,sad,50.6
02:20:45 PM,sad,81.2
02:20:50 PM,sad,95.1
02:20:56 PM,sad,40.8
02:21:01 PM,sad,58.9
02:21:16 PM,sad,90.6
02:21:29 PM,sad,99.8
02:21:40 PM,sad,92.8
02:21:45 PM,sad,79.2
02:21:50 PM,sad,98.5
02:21:55 PM,sad,96.6
02:22:13 PM,sad,73.1
02:22:18 PM,sad,77.8
02:22:23 PM,sad,64.4
02:22:26 PM,angry,78.0
02:22:32 PM,angry,92.7
02:22:33 PM,sad,53.1
02:22:39 PM,sad,78.8
02:22:39 PM,angry,90.8
02:22:44 PM,angry,97.5
02:22:49 PM,angry,52.9
02:22:54 PM,angry,73.1
02:23:09 PM,angry,95.5
02:23:18 PM,angry,52.5
02:23:32 PM,angry,86.9
02:23:37 PM,angry,73.0
02:23:42 PM,angry,84.7
02:23:47 PM,angry,100.0
02:23:48 PM,sad,99.6
02:23:53 PM,neutral,57.8
02:23:58 PM,neutral,76.6
02:24:03 PM,neutral,97.7
02:24:06 PM,sad,96.8
02:24:11 PM,sad,63.6
02:24:16 PM,sad,99.7
02:24:21 PM,sad,86.8
02:24:27 PM,sad,98.8
02:24:32 PM,sad,83.3
02:24:37 PM,sad,37.3
02:24:42 PM,sad,49.4
02:24:47 PM,sad,99.8
02:24:53 PM,sad,84.4
02:24:58 PM,sad,99.5
02:25:03 PM,sad,85.3
02:25:25 PM,sad,87.2
02:25:33 PM,sad,99.5
02:25:38 PM,sad,49.5
02:25:43 PM,sad,98.6
02:25:47 PM,angry,91.8
02:25:53 PM,angry,68.9
